,tfl_id,bikes,spaces,timestamp
40001,122,16,7,08/02/2017 18:38
48541,7,5,18,08/02/2017 18:40
45728,153,5,16,08/02/2017 18:46
10855,82,6,18,08/02/2017 18:48
47637,65,6,17,08/02/2017 18:52
19364,111,3,15,08/02/2017 18:58
33373,156,11,11,08/02/2017 18:58
45796,158,5,18,08/02/2017 19:06
87277,133,7,17,08/02/2017 19:08
98800,151,8,16,08/02/2017 19:08
44205,82,10,14,08/02/2017 19:16
85033,153,2,19,08/02/2017 19:22
22403,113,5,19,08/02/2017 19:24
12503,144,8,15,08/02/2017 19:26
55892,83,17,6,08/02/2017 19:26
47019,87,5,19,08/02/2017 19:28
98777,66,2,21,08/02/2017 19:34
95778,94,6,17,08/02/2017 19:36
32431,169,4,17,08/02/2017 19:38
38007,78,12,12,08/02/2017 19:38
23541,75,10,14,08/02/2017 19:46
48659,46,13,11,08/02/2017 19:52
32555,129,11,12,08/02/2017 19:58
72264,166,5,16,08/02/2017 20:08
19493,8,5,15,08/02/2017 20:22
32606,10,10,12,08/02/2017 20:24
16242,25,12,11,08/02/2017 20:28
12546,52,6,18,08/02/2017 20:38
20624,64,9,15,08/02/2017 20:38
94325,114,18,8,08/02/2017 20:42
19066,101,8,17,08/02/2017 20:48
24623,85,8,19,08/02/2017 21:06
46530,135,15,8,08/02/2017 21:12
54594,54,9,14,08/02/2017 21:16
45268,97,1,23,08/02/2017 21:20
32624,173,10,12,08/02/2017 21:22
420,82,13,9,08/02/2017 21:24
56579,52,2,20,08/02/2017 21:24
51571,83,17,6,08/02/2017 21:40
15059,158,10,13,08/02/2017 21:42
20212,173,9,12,08/02/2017 21:54
31998,78,13,11,08/02/2017 21:56
41056,101,5,20,08/02/2017 21:56
5773,172,7,17,08/02/2017 22:02
17733,167,12,12,08/02/2017 22:02
67233,149,10,14,08/02/2017 22:04
80492,18,17,3,08/02/2017 22:04
77598,6,15,12,08/02/2017 22:06
85674,40,6,14,08/02/2017 22:08
97933,132,13,11,08/02/2017 22:14
34808,97,0,24,08/02/2017 22:16
78809,85,8,19,08/02/2017 22:18
81426,116,5,19,08/02/2017 22:26
21102,24,2,10,08/02/2017 22:30
63123,115,1,23,08/02/2017 22:34
86563,160,13,11,08/02/2017 22:34
79386,7,12,12,08/02/2017 22:38
53790,159,13,9,08/02/2017 22:42
10611,63,9,10,08/02/2017 22:44
92544,91,12,9,08/02/2017 22:44
65330,16,3,16,08/02/2017 22:46
41577,14,8,15,08/02/2017 22:48
41604,97,1,23,08/02/2017 22:50
32181,100,4,20,08/02/2017 22:54
42855,93,6,17,08/02/2017 22:56
4438,151,12,12,08/02/2017 23:02
40134,132,12,12,08/02/2017 23:04
82293,135,13,11,08/02/2017 23:06
40034,123,8,10,08/02/2017 23:10
57019,51,7,16,08/02/2017 23:14
59836,99,1,20,08/02/2017 23:14
1296,146,11,12,08/02/2017 23:22
8092,137,9,15,08/02/2017 23:24
80110,84,14,9,08/02/2017 23:24
43055,160,15,9,08/02/2017 23:26
23511,172,3,20,08/02/2017 23:34
31474,162,13,11,08/02/2017 23:48
91181,53,13,10,09/02/2017 00:00
54770,133,13,11,09/02/2017 00:08
56471,6,7,18,09/02/2017 00:10
87507,157,4,18,09/02/2017 00:22
94332,139,16,8,09/02/2017 00:56
84559,142,10,14,09/02/2017 01:14
85761,124,4,20,09/02/2017 01:38
48087,147,11,12,09/02/2017 01:58
76670,14,12,10,09/02/2017 01:58
60395,153,8,12,09/02/2017 02:06
11097,114,12,14,09/02/2017 02:08
5855,98,0,22,09/02/2017 02:24
91009,160,7,17,09/02/2017 02:36
68500,125,10,13,09/02/2017 02:54
81379,135,12,12,09/02/2017 03:00
70015,167,4,20,09/02/2017 03:04
15543,86,11,13,09/02/2017 03:10
88045,64,5,19,09/02/2017 03:10
2581,65,12,12,09/02/2017 03:12
62224,73,5,22,09/02/2017 03:12
73819,69,4,20,09/02/2017 03:18
42055,100,0,24,09/02/2017 03:24
10746,96,10,13,09/02/2017 03:28
54917,148,11,11,09/02/2017 03:50
81907,33,0,0,09/02/2017 03:50
97977,19,10,14,09/02/2017 03:50
28164,57,16,8,09/02/2017 03:56
37599,21,2,22,09/02/2017 04:00
85176,20,12,10,09/02/2017 04:04
66165,119,15,9,09/02/2017 04:08
76471,109,1,20,09/02/2017 04:08
93664,24,4,8,09/02/2017 04:12
27466,143,7,17,09/02/2017 04:16
93770,153,8,12,09/02/2017 04:18
66627,85,13,14,09/02/2017 04:20
62980,156,11,13,09/02/2017 04:28
75956,99,1,20,09/02/2017 04:38
96502,94,4,17,09/02/2017 04:38
80253,169,10,13,09/02/2017 04:46
39824,133,13,11,09/02/2017 04:56
97672,122,12,11,09/02/2017 05:08
35109,111,3,14,09/02/2017 05:30
